onsite              nnhop               ospair              nnpair              
1.08163             1.79307             0.0336526           0.0714671           
1.08164             1.79312             0.0336091           0.0713221           
1.08153             1.79287             0.0335608           0.0711663           
1.08155             1.79295             0.0335193           0.0710237           
1.08153             1.79292             0.0334744           0.0708784           
1.08148             1.79284             0.0334295           0.0707328           
1.08144             1.79276             0.0333844           0.070587            
1.08147             1.79287             0.0333431           0.0704503           
1.08147             1.79289             0.0333003           0.0703089           
1.08144             1.79284             0.0332559           0.0701633           
1.08166             1.79346             0.0332251           0.0700472           
1.08159             1.79331             0.0331794           0.0699013           
1.08156             1.79326             0.0331348           0.0697604           
1.08156             1.79329             0.033093            0.069623            
1.08153             1.79322             0.0330498           0.0694823           
1.08135             1.79279             0.033               0.0693289           
1.08368             1.79899             0.0330642           0.0694354           
1.08365             1.79893             0.0330198           0.0692963           
1.0834              1.79827             0.032967            0.0691333           
1.08337             1.79824             0.0329241           0.0689946           
1.08335             1.79819             0.032881            0.0688555           
1.08332             1.79815             0.0328374           0.0687199           
1.08333             1.79821             0.0327961           0.068588            
1.08333             1.79821             0.0327551           0.0684534           
1.08334             1.79828             0.0327147           0.0683226           
1.08338             1.7984              0.0326755           0.0681926           
1.08332             1.79828             0.0326322           0.0680559           
1.08329             1.79822             0.0325906           0.0679198           
1.08324             1.7981              0.0325477           0.067784            
1.08318             1.79797             0.0325044           0.0676474           
1.08314             1.79788             0.0324619           0.0675139           
1.08275             1.79687             0.0324041           0.0673454           
1.08272             1.79682             0.032363            0.0672137           
1.08269             1.79675             0.0323219           0.0670808           
1.08133             1.79316             0.0322221           0.0668183           
1.08134             1.79321             0.0321822           0.0666921           
1.08135             1.79327             0.0321437           0.0665665           
1.08143             1.79351             0.0321081           0.066448            
1.08206             1.7952              0.0320964           0.0663859           
1.08213             1.7954              0.0320602           0.0662677           
1.08213             1.79542             0.0320213           0.0661428           
1.08211             1.79541             0.0319807           0.0660165           
1.0821              1.7954              0.0319415           0.065892            
1.08299             1.79777             0.0319418           0.0658539           
1.08241             1.79626             0.0318785           0.065676            
1.08246             1.7964              0.0318417           0.0655566           
1.08246             1.79643             0.0318034           0.0654341           
1.08245             1.79643             0.0317649           0.0653116           
1.08278             1.79731             0.0317409           0.0652201           
1.08276             1.79728             0.0317026           0.0650978           
1.08277             1.79732             0.0316651           0.0649794           
1.08284             1.79753             0.0316301           0.0648659           
1.08195             1.7952              0.0315549           0.064663            
1.08193             1.79515             0.0315164           0.064542            
1.08189             1.79506             0.0314768           0.064419            
